名前,エリア,カテゴリ,食事枠,営業時間,メモ,住所,緯度経度
マネープラネット 明洞店,明洞,スポット,,9:00-20:30(日曜-18:30),黄色看板の両替所。Day1にここでまとまった両替。明洞駅5番出口142m・CU向かい・EDIYAの下の階,"Money Planet, 103 Toegye-ro, Jung District, Seoul","37.56090, 126.98325"
WOWPASSチャージ機 明洞駅,明洞,スポット,,6:00-23:59,4号線明洞駅の構内(改札外)。2回目チャージ・残高不足時に。24時間対応はソウルプリンスホテル(2番出口30m)のフロント機,"Myeongdong Station, 126 Toegye-ro, Jung District, Seoul","37.56097, 126.98646"
fwee Agit 聖水,聖水,買い物,,11:00-21:00,旗艦店・駅徒歩3分。プリンポットが看板・購入特典あり。免税還付なし・レジ混雑注意,"fwee Agit Seongsu, Seongdong-gu, Seoul","37.54099, 127.05516"
Musinsa Store 聖水,聖水,買い物,,11:00-22:00,大型店・スニーカーウォールが圧巻。隣の大林倉庫とセットで,"Musinsa Store Seongsu, Seongdong-gu, Seoul","37.54155, 127.05639"
大林倉庫,聖水,カフェ,,11:00-22:00,倉庫リノベカフェの代表格。休憩&合流地点にちょうどいい,"Daelim Changgo, Seongsu-dong, Seongdong-gu, Seoul","37.54184, 127.05646"
EQL SEONGSU GROVE,聖水,買い物,,11:00-20:00,2Fのポップアップが週替わり。当日何が来ているかはお楽しみ,"EQL Seongsu Grove, Seongdong-gu, Seoul","37.54293, 127.05883"
Tamburins 聖水,聖水,買い物,,11:00-21:00,美術館みたいな香水店。ハンドクリームが土産定番。列あるが回転速い,"Tamburins Seongsu, Seongdong-gu, Seoul","37.54377, 127.05260"
Cafe Onion 聖水,聖水,カフェ,,8:00-22:00(土日9:00-・LO21:30),予備枠。工場リノベカフェの元祖・塩パン名物。大林倉庫との二択で,"Cafe Onion Seongsu, 8 Achasan-ro 9-gil, Seongdong-gu, Seoul","37.54473, 127.05821"
ムシンサ メガストア 聖水,聖水,買い物,,11:00-22:00,ムシンサの旗艦大型店(S1ビル)。②Musinsa Storeとは別店舗・150m南,"Musinsa Mega Store Seongsu, 62 Seongsui-ro, Seongdong-gu, Seoul","37.54024, 127.05585"
サブデュード 聖水,聖水,買い物,,11:00-20:00,イタリア発ティーン向けガーリーブランドSubdued。練武場通り沿い1F,"Subdued Seongsu, 115 Yeonmujang-gil, Seongdong-gu, Seoul","37.54075, 127.06188"
SEA LIFE COEX,江南,スポット,,10:00-20:00,水中トンネルとマーメイドショー。所要2時間目安,"SEA LIFE COEX, 513 Yeongdong-daero, Gangnam-gu, Seoul","37.51313, 127.05828"
スターフィールドCOEXモール,江南,買い物,Day2 昼,10:30-22:00,巨大モール。買い物チームの主戦場。フードコートで昼も,"Starfield COEX Mall, 513 Yeongdong-daero, Gangnam-gu, Seoul","37.51183, 127.05979"
別マダン図書館,江南,スポット,,10:30-22:00,COEX内B1。天井まで届く本棚の映えスポット。合流後にみんなで,"Starfield Library, COEX Mall B1, Gangnam-gu, Seoul","37.51006, 127.06012"
MINISO 江南店,江南,買い物,,10:00-22:00,江南駅10番出口から262m・江南大路沿い1-3F。キャラグッズ充実。液体土産はこの日までに購入→夜スーツケースへ,"MINISO, 429 Gangnam-daero, Seocho-gu, Seoul","37.50087, 127.02569"
